AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_NETAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2024|1|G|GALAPAGOS|ISABELA|116567,2500|94589,9400|0,0000|203759,5400|80978,6100|0,0000|720,0000|285458,1500|211157,1900
2024|1|S|MANABI|PORTOVIEJO|840182,1000|1432183,3300|0,0000|969367,3000|876986,8000|2888,9800|64608,4800|1913851,5600|2272900,5700
2024|1|Q|EL ORO|EL GUABO|674,3400|37748,7200|0,0000|26912,0000|41877,5600|0,0000|710,0500|69499,6100|38423,0600
2024|2|M|CARCHI|MIRA|24522,4200|3243,5900|0,0000|22825,5000|2524,4600|0,0000|0,0000|25349,9600|27766,0100
2024|2|F|LOJA|MACARA|926,0400|0,0000|0,0000|10512,4100|128,0300|0,0000|0,0000|10640,4400|926,0400
2024|2|G|GUAYAS|MILAGRO|13924559,7000|25750620,7700|1741475,3600|13179228,8900|12931019,7900|322658,5500|123519,5500|26650722,5500|41419246,9900
2024|2|G|GUAYAS|DURAN|28652576,2900|44141066,1700|74266406,4100|23825339,5300|87879591,8200|24186302,1300|556309,0100|136584830,8300|147060743,1400
2024|2|M|AZUAY|CUENCA|24373567,7100|2263487,1200|349921,5900|12959129,9300|2166199,0700|476383,7700|402186,5400|16117566,6900|26992080,6000
2024|2|I|GUAYAS|GUAYAQUIL|45894639,8900|4424483,2800|102999,2400|21477517,0700|11489529,0000|731733,6200|737209,6100|34727195,9800|50428201,0600
2024|1|S|GUAYAS|EL EMPALME|37568,5500|157517,6100|0,0000|43366,3400|96104,3800|22,8500|640,3000|140133,8700|195116,1600
2024|2|S|MANABI|SANTA ANA|18773,5000|5061,3700|0,0000|8865,5400|5498,1000|0,0000|0,0000|14363,6400|23834,8700
2024|2|L|AZUAY|CUENCA|7493073,2400|5230067,0900|18800,0000|3860346,7100|1984368,9200|76173,2400|135280,5900|6056192,4600|12741948,8900
2024|2|A|LOS RIOS|BUENA FE|725557,6800|4888620,5700|1023203,5300|904716,8600|3358898,9900|25228,6800|1100690,5600|5389535,0900|6637481,7800
2024|2|F|CAÑAR|CAÑAR|259130,8300|1504,0100|0,0000|146718,3400|64284,9900|0,0000|343,9000|211347,2300|260634,8400
